epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10
1,562,1842,941,22,3,1,1,1,1,1
2,546,1531,731,18,4,2,1,1,1,1
3,543,1469,690,20,4,2,2,2,2,2
4,712,2048,2048,128,101,80,34,18,15,13
5,714,2048,2048,128,109,95,57,37,30,23
6,715,2048,2048,128,113,98,57,39,31,26
7,715,2048,2048,128,117,98,55,40,32,29
8,716,2048,2048,128,117,99,58,44,35,30
9,715,2048,2048,128,116,96,57,45,37,29
10,715,2048,2048,128,118,96,57,44,35,28
11,715,2048,2048,128,117,95,55,44,37,28
12,715,2048,2047,128,124,99,59,44,35,30
13,715,2048,2047,128,121,98,58,43,34,31
14,714,2048,2048,128,122,97,56,42,32,29
15,716,2048,2048,128,122,95,53,41,32,29
16,715,2048,2048,128,122,95,53,42,32,28
17,714,2048,2048,128,121,93,53,40,32,29
18,715,2048,2048,128,121,90,50,38,30,26
19,715,2048,2048,128,122,88,52,41,31,27
20,714,2048,2048,128,122,87,51,42,30,27
21,715,2048,2048,128,121,84,50,38,30,25
22,715,2048,2048,128,121,85,48,38,30,27
23,715,2048,2048,128,121,82,46,37,28,25
24,715,2048,2048,128,121,75,47,37,29,27
25,714,2048,2048,128,121,76,45,36,30,25
26,715,2048,2048,128,120,80,48,37,30,27
27,715,2048,2048,128,121,82,48,37,31,27
28,715,2048,2048,128,122,76,46,34,29,27
29,715,2048,2048,128,121,79,45,34,28,26
30,715,2048,2048,128,121,74,44,36,28,25
31,715,2048,2048,128,120,72,43,34,28,23
32,715,2048,2048,128,121,71,42,33,26,23
33,715,2048,2048,128,119,66,40,32,27,23
34,716,2048,2048,128,119,65,42,32,26,23
35,715,2048,2048,128,119,65,40,32,26,23
36,715,2048,2048,128,118,61,39,31,25,22
37,715,2048,2048,128,118,60,38,31,24,21
38,714,2048,2048,128,117,58,37,30,24,22
39,714,2048,2048,128,117,56,38,29,24,23
40,714,2048,2048,128,114,53,36,27,22,21
41,715,2048,2048,128,116,54,36,31,24,20
42,715,2048,2048,128,117,54,39,32,25,23
43,715,2048,2048,128,115,55,37,32,24,23
44,714,2048,2048,128,115,52,34,29,23,22
45,715,2047,2048,128,116,51,36,30,24,21
46,716,2047,2048,128,115,52,36,30,25,21
47,715,2047,2048,128,114,50,38,30,23,22
48,715,2047,2048,128,112,49,34,28,23,21
49,715,2047,2048,128,112,48,35,28,22,20
50,716,2047,2048,128,111,48,34,28,23,22
51,715,2047,2048,128,109,47,34,29,22,20
52,714,2047,2048,128,106,46,32,26,22,21
53,714,2047,2048,128,106,47,33,27,22,22
54,715,2047,2048,128,103,43,32,26,22,20
55,715,2047,2048,128,103,45,31,26,21,20
56,715,2047,2048,128,101,45,32,26,21,20
57,714,2047,2048,128,97,43,31,25,20,19
58,715,2047,2048,128,95,42,30,24,21,19
59,714,2047,2048,128,93,41,30,25,20,19
60,715,2047,2048,128,93,41,29,25,20,18
61,715,2047,2048,128,90,41,28,23,20,18
62,715,2047,2048,128,89,40,28,24,19,18
63,715,2047,2048,128,89,40,29,24,20,18
64,714,2047,2048,128,86,39,28,23,20,19
65,714,2047,2048,128,82,38,27,23,20,17
66,714,2047,2048,128,79,38,27,22,20,18
67,715,2047,2048,128,80,36,26,22,19,17
68,714,2047,2048,128,76,36,26,22,19,17
69,715,2047,2048,127,75,36,24,22,19,17
70,715,2047,2048,128,74,35,24,21,20,16
71,714,2047,2048,126,73,38,25,22,19,17
72,714,2047,2048,126,71,35,24,22,19,17
73,715,2047,2048,126,71,36,25,21,19,17
74,715,2047,2048,127,71,35,24,20,18,16
75,714,2047,2048,127,71,36,25,20,18,18
76,715,2047,2048,125,69,36,25,20,18,16
77,715,2047,2048,126,68,36,24,20,18,17
78,714,2047,2048,125,65,35,25,19,18,16
79,715,2047,2048,124,63,36,24,19,17,15
80,714,2047,2048,124,63,33,24,19,17,15
81,714,2047,2048,124,61,33,24,18,17,16
