epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20
1,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
2,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
3,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
4,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
5,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
6,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
7,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
8,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
9,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
10,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
11,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
12,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
13,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
14,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
15,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
16,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
17,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
18,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
19,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
20,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
21,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
22,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
23,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
24,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
25,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
26,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
27,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
28,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
29,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
30,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
31,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
32,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
33,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
34,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
35,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
36,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
37,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
38,384,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,512,512,512,512,512,8
