epoch,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
1,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
2,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
3,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
4,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
5,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,359,5
6,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,234,4
7,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,392,512,102,2
8,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,301,512,72,2
9,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,325,512,90,2
10,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,196,495,41,0
11,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,505,512,160,469,34,0
12,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,477,512,156,453,32,0
13,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,500,512,167,469,38,0
14,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,484,512,133,416,25,0
15,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,475,512,120,359,25,0
16,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,405,512,81,286,21,0
17,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,433,512,93,302,18,0
18,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,398,512,73,261,16,0
19,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,416,512,74,251,14,0
20,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,483,512,109,336,24,0
21,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,349,512,61,209,12,0
22,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,423,512,81,269,17,0
23,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,448,512,87,298,19,0
24,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,463,512,94,302,19,0
25,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,456,512,90,282,17,0
26,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,411,512,58,212,11,0
27,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,430,512,71,232,16,0
28,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,436,512,76,246,15,0
29,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,464,512,87,269,14,0
30,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,427,512,68,223,11,0
31,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,447,512,84,265,14,0
32,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,466,512,80,252,13,0
33,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,417,512,61,215,10,0
34,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,387,512,58,177,11,0
35,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,476,512,81,258,15,0
36,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,414,512,63,205,11,0
37,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,439,512,60,215,13,0
38,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,432,512,66,206,11,0
39,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,429,512,65,216,13,0
40,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,498,512,103,298,17,0
41,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,414,512,53,192,9,0
42,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,322,512,31,109,6,0
43,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,421,512,46,160,8,0
44,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,434,512,69,187,10,0
45,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,416,512,50,171,7,0
46,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,380,512,44,152,8,0
47,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,427,512,53,190,8,0
48,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,468,512,67,202,11,0
49,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,403,512,41,169,9,0
50,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,404,512,44,148,7,0
51,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,120,387,22,0
52,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,306,512,66,1
53,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,502,512,155,4
54,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,349,6
55,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,7
56,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
57,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
58,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
59,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
60,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
61,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
62,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
63,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
64,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
65,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
66,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
67,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
68,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
69,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
70,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
71,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
72,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
73,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
74,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
75,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
76,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
77,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
78,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
79,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
80,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
81,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
82,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
83,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
84,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
85,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
86,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
87,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
88,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
89,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
90,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
91,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
92,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
93,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
94,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
95,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
96,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
97,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
98,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
99,384,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,512,512,512,512,512,512,512,512,512,8
